SourceFile,FileName,FileSize,Model,DateTimeOriginal,ImageSize,Quality,FocalLength,ShutterSpeed,Aperture,ISO,WhiteBalance,Flash,GPSLongitude,GPSLatitude,GPSAltitude
./Georeferenced/1751.jpg,1751.jpg,629879,NIKON D3200,2017:03:19 10:07:12,4000 6016,,24,0.0005,4,560,0,0,38.1674616230003,-3.16602721800556,998.4663073
./Georeferenced/1669.jpg,1669.jpg,472676,NIKON D3200,2017:03:19 07:08:00,4000 6016,,24,0.0005,4,5000,0,0,38.2796687769528,-3.12483016376111,780.0069565
./Georeferenced/1689.jpg,1689.jpg,613555,NIKON D3200,2017:03:19 07:54:48,4000 6016,,24,0.0005,4,1000,0,0,38.2348748392489,-3.11657136998889,766.0678733
./Georeferenced/1818.jpg,1818.jpg,660227,NIKON D3200,2017:03:19 10:57:58,4000 6016,,24,0.0005,4,560,0,0,38.1226347429528,-3.05049672249861,723.7696527
./Georeferenced/1761.jpg,1761.jpg,577380,NIKON D3200,2017:03:19 10:11:56,4000 6016,,24,0.0005,4,360,0,0,38.1443134879417,-3.13897655299722,1207.072508
./Georeferenced/1827.jpg,1827.jpg,670048,NIKON D3200,2017:03:19 11:01:40,4000 6016,,24,0.0005,4,560,0,0,38.122745343025,-3.136441279,939.3452158
./Georeferenced/1823.jpg,1823.jpg,647740,NIKON D3200,2017:03:19 10:59:45,4000 6016,,24,0.0005,4,560,0,0,38.1224095217583,-3.09282263053611,785.6546645
./Georeferenced/1771.jpg,1771.jpg,559675,NIKON D3200,2017:03:19 10:16:09,4000 6016,,24,0.0005,4,2000,0,0,38.1448847775,-3.03213270650833,826.1500843
./Nikon_D3200/DSC_0763.JPG,DSC_0763.JPG,2604739,NIKON D3200,2014:09:10 16:01:51,6016 4000,"FINE   ",22,0.0003125,3.8,400,"AUTO        ",0,,,
./Nikon_D3200/DSC_0760.JPG,DSC_0760.JPG,1826658,NIKON D3200,2014:09:10 15:34:34,6016 4000,"FINE   ",22,0.002,3.8,1000,"AUTO        ",0,,,
./Nikon_D3200/DSC_0765.JPG,DSC_0765.JPG,2600777,NIKON D3200,2014:09:10 16:02:11,6016 4000,"FINE   ",22,0.0003125,3.8,400,"AUTO        ",0,,,
./Nikon_D3200/DSC_0764.JPG,DSC_0764.JPG,2621238,NIKON D3200,2014:09:10 16:01:51,6016 4000,"FINE   ",22,0.0003125,3.8,400,"AUTO        ",0,,,
